AAS,Hamburg-Altona
ABSTB,Bredstedt
ABXS,Buxtehude
ACV A,Cuxhaven
ACV B,Cuxhaven
ACV C,Cuxhaven
ACV E,Cuxhaven
ACV F,Cuxhaven
ACV K,Cuxhaven
ACV L,Cuxhaven
ACV N,Cuxhaven
ACV O,Cuxhaven
ACV W,Cuxhaven
AF  B,Flensburg
AH  Z,Hamburg Hbf
AHFH,Hamburg-Altona
AHI F,Heide(Holst)
AHM B,Husum
AHM Z,Husum
AHRS,Hamburg-Harburg
AHS,Hamburg Hbf
AK  K,Kiel Hbf
AK  Z,Kiel Hbf
AKWA,Kiel-Elmschenhagen
ALBGA,Lüneburg
ALTHO,Lübeck-Travem.Hafen
ANB B,Niebüll
ANBN,Niebüll
APSD,Bad St. Peter Süd
APU F,Puttgarden
AWLAJ,Westerland(Sylt)
AWLAN,Westerland(Sylt)
AWLAP,Westerland(Sylt)
AWLAS,Westerland(Sylt)
AWLAW,Westerland(Sylt)
AWLAZ,Westerland(Sylt)
AWLN,Westerland(Sylt)
AWLNL,Westerland(Sylt)
AWLNM,Westerland(Sylt)
AWMS,Hamburg-Wandsbek
AY  W,Husby
BAGM,Bad Saarow-Pieskow S
BALX,Berlin Alexanderpl.
BATS,Berlin Attilastraße
BBEU,Berlin Beusselstr.
BBEUS,Berlin Gesundbrunnen
BBI C,Birkenwerder(b Berl)
BBOS,Berlin Bornholm.Str
BBUZB,Buchholz(Zauche)
BEZ B,Elsholz
BFBB,Berlin Brandenb.Flug
BFFO,Berlin-Friedrfel.Ost
BFHS,Schönefeld
BFLH,Schönefeld
BGB,Berlin Gesundbrunnen
BGBA,Berlin Grünbg.allee
BGGS,Berlin Yorckstraße
BGRRB,Groß Rietz
BGRRN,Görzig
BGSBG,Großbeeren
BHBF,Berlin Hbf
BHER,Berlin Hermannstr.
BHGM,Strausberg-Hegerm.
BJA B,Altes Lager
BJLB,Berlin Jul.-Leber-Br
BJUN,Berlin Jungfernheide
BKHD,Berlin Kölln.Heide
BL,Berlin Hbf
BLF W,Ludwigsfelde
